arm_id,arm_data_ini,arm_data_fin,arm_altezza,arm_lunghezza_sbraccio,arm_numero_lampade,arm_lmp_potenza_nominale,tar_cod,tar_descr,tmo_id,tpo_cod,tpo_descr,sgn_id,sgn_data_inserimento,tcs_id,tcs_descr,tci_id,tci_descr,latitudine,longitudine,giorni_vita_attuale,prob_guasto_entra_60gg
948187,2022-02-01,13/2/2026,400.0,0.0,1.0,30.5,AU,Arredo urbano,1813.0,TP,Testapalo,,,,,,,41.74033282974016,12.36829264699419,1480,47.0
902659,2022-01-01,13/2/2026,900.0,30.0,1.0,100.0,AS,Armatura stradale,189.0,NN,Non noto,,,,,,,41.883090520519005,12.491322298551635,1511,47.81
530506,2020-01-01,13/2/2026,850.0,0.0,1.0,150.0,AS,Armatura stradale,189.0,TP,Testapalo,,,,,,,41.9263096165009,12.38652789155633,2242,49.61
136802,2018-03-26,13/2/2026,0.0,0.0,1.0,32.5,AS,Armatura stradale,550.0,NN,Non noto,,,,,,,41.88071783771161,12.699983446617814,2888,44.88
1138105,2025-03-01,13/2/2026,400.0,50.0,1.0,70.0,AU,Arredo urbano,2065.0,SB,Sbraccio su palo,,,,,,,42.04741114895806,12.518942994978651,356,39.41
473009,2020-01-01,13/2/2026,800.0,0.0,1.0,70.0,AS,Armatura stradale,1371.0,TP,Testapalo,,,,,,,41.871823123377176,12.68431541824147,2242,55.52
476322,2020-02-07,13/2/2026,900.0,0.0,1.0,39.0,AS,Armatura stradale,550.0,TP,Testapalo,,,,,,,41.88430791308954,12.530990540909215,2205,53.18
1124150,2024-11-01,13/2/2026,0.0,0.0,1.0,70.0,AU,Arredo urbano,164.0,TP,Testapalo,,,,,,,41.921276499123216,12.396285513744107,476,34.89
1253582,2026-01-01,13/2/2026,800.0,100.0,1.0,35.0,AS,Armatura stradale,4085.0,SB,Sbraccio su palo,,,,,,,41.87612036283697,12.572249782581109,50,44.34
465463,2020-01-01,13/2/2026,900.0,200.0,1.0,150.0,AS,Armatura stradale,611.0,SB,Sbraccio su palo,,,,,,,41.7755036232431,12.54612207996195,2242,83.8
644855,2020-11-01,13/2/2026,500.0,0.0,1.0,70.0,AS,Armatura stradale,262.0,TP,Testapalo,,,,,,,41.90890165971938,12.496382048693032,1937,59.45
1072059,2024-01-01,13/2/2026,600.0,0.0,1.0,115.0,AS,Armatura stradale,2065.0,TP,Testapalo,,,,,,,41.97595683234499,12.538927608789686,781,42.91
271919,2016-10-17,13/2/2026,0.0,0.0,1.0,0.0,AS,Armatura stradale,189.0,NN,Non noto,,,,,,,41.8870587667986,12.695915469003,3413,49.2
1203900,2025-04-01,13/2/2026,900.0,260.0,1.0,49.0,AS,Armatura stradale,2417.0,SB,Sbraccio su palo,,,,,,,41.7589739409842,12.310574187817206,325,46.78
1216348,2025-01-01,13/2/2026,400.0,30.0,1.0,10.0,AU,Arredo urbano,2202.0,PI,Pipetta,,,,,,,41.81849687312568,12.623618216379368,415,41.78
941350,2023-01-01,13/2/2026,0.0,0.0,1.0,12.0,AU,Arredo urbano,3062.0,TP,Testapalo,,,,,,,41.86141890342173,12.689797677434903,1146,40.34
870211,2022-01-01,13/2/2026,0.0,100.0,1.0,70.0,AS,Armatura stradale,1456.0,ME,Mensola,,,,,,,41.73951973159721,12.356418588323235,1511,40.29
989567,2023-07-01,13/2/2026,700.0,50.0,1.0,100.0,AS,Armatura stradale,189.0,SB,Sbraccio su palo,,,,,,,41.93529718461284,12.58881039767327,965,41.89
1145027,2025-01-01,13/2/2026,800.0,0.0,1.0,45.0,AS,Armatura stradale,4096.0,TP,Testapalo,,,,,,,41.91246713483962,12.499934954388792,415,46.03
1193739,2025-04-01,13/2/2026,1000.0,75.0,1.0,89.0,AS,Armatura stradale,2424.0,SB,Sbraccio su palo,,,,,,,41.935932843409546,12.53570569094427,325,40.14
502752,2020-01-01,13/2/2026,800.0,100.0,1.0,100.0,AS,Armatura stradale,640.0,SB,Sbraccio su palo,,,,,,,42.022867995917615,12.379517120578274,2242,58.81
936436,2023-01-01,13/2/2026,0.0,0.0,1.0,150.0,PR,Proiettore,3054.0,NN,Non noto,,,,,,,41.96847341752058,12.531637861159794,1146,35.64
499160,2020-01-01,13/2/2026,950.0,10.0,1.0,100.0,AS,Armatura stradale,640.0,SB,Sbraccio su palo,,,,,,,41.743131498049046,12.359374273025711,2242,60.6
1217908,2025-01-01,13/2/2026,650.0,150.0,1.0,45.0,AS,Armatura stradale,2201.0,SB,Sbraccio su palo,,,,,,,41.91924830566732,12.556795282025137,415,43.95
326602,2016-12-02,13/2/2026,0.0,0.0,1.0,210.0,AS,Armatura stradale,261.0,SO,Sospensione,,,,,,,41.90622393101434,12.41378783460075,3367,51.85
987463,2023-01-01,13/2/2026,700.0,0.0,1.0,33.0,AS,Armatura stradale,1803.0,TP,Testapalo,,,,,,,41.898050985935406,12.560986069768106,1146,49.21
1022709,2023-03-01,13/2/2026,800.0,0.0,1.0,0.0,AS,Armatura stradale,189.0,TP,Testapalo,,,,,,,42.0067810057659,12.51652991235752,1087,47.4
1127369,2025-01-01,13/2/2026,0.0,0.0,1.0,37.4,AS,Armatura stradale,1867.0,TP,Testapalo,,,,,,,41.84845782030072,12.591145250625743,415,35.72
1263463,2026-01-01,13/2/2026,300.0,0.0,1.0,20.0,AU,Arredo urbano,1454.0,TP,Testapalo,,,,,,,41.92068616800103,12.39489873258534,50,45.87
1095255,2023-09-14,13/2/2026,600.0,160.0,1.0,25.0,AS,Armatura stradale,3707.0,ME_DR,Mensola attacco dritto,,,,,,,41.77942597876496,12.37849538820946,890,46.61
673658,2021-01-01,13/2/2026,0.0,0.0,1.0,100.0,AS,Armatura stradale,225.0,SB,Sbraccio su palo,,,,,,,41.95613774734494,12.347697288114764,1876,35.61
379648,2019-07-10,13/2/2026,700.0,0.0,1.0,100.0,AS,Armatura stradale,613.0,TP,Testapalo,,,,,,,41.91321233593347,12.61567149068297,2417,31.48
986610,2023-01-01,13/2/2026,1000.0,150.0,1.0,52.0,AU,Arredo urbano,3387.0,SB,Sbraccio su palo,,,,,,,41.87083898964404,12.657744779899852,1146,52.81
1025844,2023-01-01,13/2/2026,800.0,0.0,1.0,150.0,AU,Arredo urbano,73.0,PI,Pipetta,,,,,,,41.8564771702676,12.64264160881022,1146,46.63
1059091,2021-11-30,13/2/2026,1100.0,50.0,1.0,33.0,AS,Armatura stradale,1803.0,SB,Sbraccio su palo,,,,,,,41.87250975651853,12.518493534412674,1543,57.09
1158041,2025-01-01,13/2/2026,0.0,0.0,1.0,14.5,AS,Armatura stradale,749.0,NN,Non noto,,,,,,,41.9548468264568,12.412205541221509,415,25.93
1062670,2024-01-01,13/2/2026,900.0,100.0,1.0,30.0,AS,Armatura stradale,3723.0,SB,Sbraccio su palo,,,,,,,41.92974214670704,12.380840542240362,781,50.03
1251913,2025-01-01,13/2/2026,900.0,150.0,1.0,37.0,AS,Armatura stradale,749.0,SB,Sbraccio su palo,,,,,,,41.882557663274966,12.609561001987846,415,35.81
1028478,2023-12-15,13/2/2026,800.0,200.0,1.0,100.0,AS,Armatura stradale,189.0,SB_DR,Sbraccio attacco dritto,,,,,,,42.00663031121091,12.334888609365503,798,42.32
1217637,2025-01-01,13/2/2026,700.0,150.0,1.0,30.0,AS,Armatura stradale,2201.0,SB,Sbraccio su palo,,,,,,,41.77087939156477,12.506537734872827,415,45.15
711606,2022-01-01,13/2/2026,800.0,0.0,1.0,67.0,AS,Armatura stradale,722.0,TP,Testapalo,,,,,,,41.87208332542927,12.527872288504446,1511,51.56
1041224,2024-03-01,13/2/2026,0.0,50.0,1.0,50.0,AS,Armatura stradale,189.0,SB,Sbraccio su palo,,,,,,,41.83439277872935,12.596778012369247,721,33.08
1247717,2025-01-01,13/2/2026,950.0,0.0,1.0,28.0,AS,Armatura stradale,3670.0,TP,Testapalo,,,,,,,41.88217271771959,12.343961763825078,415,48.7
1226750,2025-01-01,13/2/2026,500.0,0.0,1.0,25.0,LA,Lanterna artistica ,4394.0,TP,Testapalo,,,,,,,41.86154598272755,12.654619164719351,415,42.6
717462,2022-01-01,13/2/2026,350.0,0.0,1.0,21.0,AU,Arredo urbano,1860.0,TP,Testapalo,,,,,,,41.92483202421568,12.577189114887924,1511,46.81
1145925,2025-01-01,13/2/2026,600.0,0.0,1.0,20.0,AU,Arredo urbano,225.0,TP,Testapalo,,,,,,,42.00047981223764,12.450816464506865,415,38.17
935437,2023-01-01,13/2/2026,0.0,0.0,1.0,150.0,AS,Armatura stradale,1456.0,TP,Testapalo,,,,,,,41.767479543805976,12.312309590298131,1146,35.64
998969,2023-07-01,13/2/2026,900.0,50.0,1.0,125.0,AS,Armatura stradale,189.0,SB,Sbraccio su palo,,,,,,,41.79042308077077,12.329577295704546,965,43.85
488054,2020-01-01,13/2/2026,600.0,0.0,1.0,35.0,AS,Armatura stradale,1612.0,SO,Sospensione,,,,,,,41.898378396659,12.516002340063755,2242,53.94
400007,2019-08-06,13/2/2026,650.0,10.0,1.0,70.0,AS,Armatura stradale,611.0,SB,Sbraccio su palo,,,,,,,42.07165101470088,12.337962596037949,2390,83.32
998984,2023-07-01,13/2/2026,900.0,0.0,1.0,100.0,AS,Armatura stradale,189.0,TP,Testapalo,,,,,,,42.02658224462665,12.318098000117253,965,44.68
1287081,2026-01-01,13/2/2026,800.0,0.0,1.0,29.0,AS,Armatura stradale,1362.0,TP,Testapalo,,,,,,,41.88330603982793,12.540877689907909,50,44.54
1202350,2025-04-01,13/2/2026,1000.0,0.0,1.0,110.0,AS,Armatura stradale,2432.0,TP,Testapalo,,,,,,,41.71643986574939,12.48933178838167,325,46.11
653223,2020-11-01,13/2/2026,0.0,0.0,1.0,33.9,AU,Arredo urbano,722.0,TP,Testapalo,,,,,,,41.84764045013605,12.324248993589478,1937,43.93
1251668,2025-01-01,13/2/2026,800.0,0.0,1.0,28.0,AS,Armatura stradale,749.0,TP,Testapalo,,,,,,,41.8576473452264,12.654116742826,415,34.82
912875,2022-05-01,13/2/2026,900.0,0.0,1.0,87.0,AS,Armatura stradale,605.0,SB,Sbraccio su palo,,,,,,,41.78355331368232,12.327893641782865,1391,44.92
693131,2022-01-01,13/2/2026,700.0,0.0,1.0,70.0,AU,Arredo urbano,189.0,TP,Testapalo,,,,,,,41.80320969016682,12.336099921633512,1511,46.02
1297274,2026-01-26,13/2/2026,850.0,250.0,,36.0,AS,Armatura stradale,4768.0,SB,Sbraccio su palo,,,,,,,42.068491221300285,12.355515082585631,25,44.85
312720,2016-12-02,13/2/2026,0.0,0.0,1.0,110.0,NN,Non noto,189.0,NN,Non noto,,,,,,,41.90655774697383,12.707376596807393,3367,45.52
1274614,2026-01-01,13/2/2026,300.0,0.0,1.0,20.0,LA,Lanterna artistica ,2804.0,SF,Soffitto,,,,,,,41.86919131186016,12.595851119249854,50,38.29
1291610,2026-01-01,13/2/2026,500.0,0.0,1.0,13.5,AU,Arredo urbano,1811.0,TP,Testapalo,,,,,,,41.90732916629584,12.549799304175266,50,41.07
1061476,2024-01-01,13/2/2026,900.0,150.0,1.0,20.5,AS,Armatura stradale,3723.0,SB,Sbraccio su palo,,,,,,,41.74808815786604,12.383086086018691,781,50.35
637673,2020-11-01,13/2/2026,0.0,0.0,1.0,76.0,AS,Armatura stradale,550.0,SB,Sbraccio su palo,,,,,,,41.8487581016833,12.623893892005844,1937,38.17
739163,2022-05-01,13/2/2026,0.0,0.0,1.0,100.0,AS,Armatura stradale,1278.0,ME,Mensola,,,,,,,41.88896715245321,12.68349938815284,1391,28.86
963692,2023-01-01,13/2/2026,550.0,0.0,1.0,35.0,PR,Proiettore,600.0,MU,A muro o parete,,,,,,,41.92418858569266,12.573288819771058,1146,41.58
153156,2018-09-18,13/2/2026,820.0,0.0,1.0,100.0,AS,Armatura stradale,53.0,TP,Testapalo,,,,,,,41.88219403985351,12.356127836630751,2712,34.93
725909,2022-04-11,13/2/2026,0.0,0.0,1.0,16.5,AS,Armatura stradale,750.0,SB,Sbraccio su palo,,,,,,,41.70721489822462,12.524898529738264,1411,41.61
185836,2019-06-06,13/2/2026,0.0,0.0,1.0,28.0,AS,Armatura stradale,1317.0,NN,Non noto,,,,,,,41.93951587387315,12.426389314579072,2451,47.04
1257480,2026-01-01,13/2/2026,800.0,0.0,1.0,28.0,AS,Armatura stradale,1867.0,SB,Sbraccio su palo,,,,,,,41.899887218365386,12.5372774520567,50,44.58
1117852,2024-01-01,13/2/2026,550.0,0.0,1.0,70.0,SF,Sfera,189.0,TP,Testapalo,,,,,,,41.98213782555544,12.458897632417392,781,39.81
1138924,2021-04-13,13/2/2026,0.0,0.0,1.0,25.5,NN,Non noto,189.0,NN,Non noto,,,,,,,42.026299699665216,12.482188129694688,1774,39.49
717402,2022-01-01,13/2/2026,350.0,0.0,1.0,21.0,AU,Arredo urbano,1860.0,TP,Testapalo,,,,,,,41.931121102601175,12.638891838038369,1511,46.81
852721,2022-01-01,13/2/2026,500.0,50.0,1.0,43.0,LA,Lanterna artistica ,2611.0,ME,Mensola,,,,,,,41.81004276048537,12.4818596326322,1511,48.14
888185,2021-12-01,13/2/2026,800.0,0.0,1.0,40.0,AS,Armatura stradale,189.0,NN,Non noto,,,,,,,41.72892264825615,12.284142176097651,1542,48.61
1094636,2021-01-01,13/2/2026,700.0,0.0,1.0,27.0,AS,Armatura stradale,754.0,TP,Testapalo,,,,,,,42.03121704617893,12.29259069384898,1876,53.57
1064630,2024-01-01,13/2/2026,0.0,0.0,1.0,59.2,PR,Proiettore,719.0,NN,Non noto,,,,,,,41.82719514397073,12.508383032197363,781,36.77
1301446,2025-01-01,13/2/2026,450.0,20.0,1.0,15.0,AU,Arredo urbano,3733.0,PI,Pipetta,,,,,,,41.72783975029259,12.344616574957769,415,42.28
399945,2019-08-06,13/2/2026,800.0,200.0,1.0,30.0,AS,Armatura stradale,613.0,SB,Sbraccio su palo,,,,,,,41.792173726828,12.424036776489285,2390,33.55
894015,2022-05-01,13/2/2026,400.0,0.0,1.0,70.0,SF,Sfera,189.0,NN,Non noto,,,,,,,41.97390903102558,12.511646165125624,1391,41.19
1199491,2025-04-01,13/2/2026,800.0,75.0,1.0,34.0,AS,Armatura stradale,2406.0,SB,Sbraccio su palo,,,,,,,41.833612529383565,12.62057226859832,325,45.9
699889,2022-01-01,13/2/2026,1050.0,0.0,1.0,75.0,AS,Armatura stradale,1867.0,TP,Testapalo,,,,,,,41.9549602040959,12.47839761917592,1511,54.81
531753,2020-01-01,13/2/2026,1000.0,0.0,1.0,20.0,SP,Segnapasso,211.0,IN,Incassato,,,,,,,42.037907310213846,12.485548816649905,2242,59.87
1137712,2025-03-01,13/2/2026,800.0,100.0,1.0,100.0,AS,Armatura stradale,66.0,SB,Sbraccio su palo,,,,,,,41.78293682142614,12.35820549007867,356,51.65
156753,2018-09-18,13/2/2026,820.0,20.0,1.0,100.0,AS,Armatura stradale,241.0,SB,Sbraccio su palo,,,,,,,42.02673642702865,12.454466933605994,2712,71.52
866839,2022-01-01,13/2/2026,850.0,200.0,1.0,28.0,AS,Armatura stradale,2781.0,SB,Sbraccio su palo,,,,,,,42.04201994904296,12.563243572435,1511,53.59
1124966,2022-01-01,13/2/2026,800.0,0.0,1.0,150.0,AS,Armatura stradale,2025.0,TP,Testapalo,,,,,,,41.93014226063849,12.468562710220388,1511,48.74
999287,2023-07-01,13/2/2026,900.0,50.0,1.0,100.0,AS,Armatura stradale,189.0,SB,Sbraccio su palo,,,,,,,41.90122856961073,12.287031827308462,965,44.68
966066,2023-01-01,13/2/2026,900.0,0.0,1.0,42.0,AS,Armatura stradale,2208.0,TP,Testapalo,,,,,,,41.83810553511073,12.598599863720262,1146,51.73
309434,2016-12-02,13/2/2026,0.0,0.0,1.0,70.0,NN,Non noto,261.0,NN,Non noto,,,,,,,41.78808443727601,12.424266289567733,3367,55.93
1206836,2025-08-01,13/2/2026,0.0,0.0,1.0,70.0,LA,Lanterna artistica ,2065.0,TP,Testapalo,,,,,,,41.88986561198959,12.57929446890084,203,33.61
163273,2018-09-18,13/2/2026,0.0,70.0,1.0,100.0,LA,Lanterna artistica ,830.0,ME,Mensola,,,,,,,41.81897610820423,12.39674397452854,2712,46.05
1142774,2025-03-24,13/2/2026,800.0,10.0,1.0,57.0,AU,Arredo urbano,722.0,SB,Sbraccio su palo,,,,,,,41.81801815402756,12.393071875025392,333,45.16
488953,2020-01-01,13/2/2026,900.0,0.0,1.0,150.0,AS,Armatura stradale,9.0,TP,Testapalo,,,,,,,41.93142038460411,12.351219472902208,2242,54.23
372710,2018-06-08,13/2/2026,1200.0,0.0,1.0,250.0,AS,Armatura stradale,1205.0,NN,Non noto,,,,,,,41.92135081757117,12.422345827419582,2814,57.86
938434,2023-01-01,13/2/2026,0.0,0.0,1.0,21.0,AU,Arredo urbano,776.0,TP,Testapalo,,,,,,,41.84793497853781,12.442429988205443,1146,40.02
639119,2020-11-01,13/2/2026,1500.0,0.0,1.0,400.0,PR,Proiettore,468.0,TP,Testapalo,,,,,,,42.04778474565786,12.31884119429808,1937,53.0
456729,2020-01-01,13/2/2026,550.0,100.0,1.0,30.0,LA,Lanterna artistica ,1619.0,ME,Mensola,,,,,,,41.87682357002362,12.492603196577743,2242,53.41
1212725,2025-09-01,13/2/2026,500.0,0.0,1.0,75.0,AS,Armatura stradale,1867.0,TP,Testapalo,,,,,,,41.85789746108758,12.504973750738046,172,39.6
870449,2022-01-01,13/2/2026,0.0,150.0,1.0,51.0,AS,Armatura stradale,2270.0,SB,Sbraccio su palo,,,,,,,41.876309423894334,12.355625842631516,1511,40.95
925109,2023-01-01,13/2/2026,900.0,0.0,1.0,70.0,AS,Armatura stradale,1220.0,TP,Testapalo,,,,,,,41.916277324058754,12.77466577096166,1146,50.78
639460,2020-11-01,13/2/2026,350.0,0.0,1.0,40.0,AU,Arredo urbano,769.0,TP,Testapalo,,,,,,,41.737216308221385,12.287233365909456,1937,48.57
177473,2018-09-30,13/2/2026,900.0,200.0,1.0,70.0,AS,Armatura stradale,53.0,SB,Sbraccio su palo,,,,,,,41.88978349087662,12.469642663302128,2700,36.7
1270810,2026-01-01,13/2/2026,750.0,0.0,1.0,23.0,AS,Armatura stradale,2297.0,TP,Testapalo,,,,,,,41.889325661103946,12.334459375660527,50,44.07
636640,2020-11-01,13/2/2026,0.0,0.0,1.0,35.0,AS,Armatura stradale,754.0,SB,Sbraccio su palo,,,,,,,41.764793859770656,12.370480353739833,1937,43.89
642169,2020-11-01,13/2/2026,0.0,0.0,1.0,70.0,AS,Armatura stradale,189.0,TP,Testapalo,,,,,,,41.84508778726202,12.611352908295697,1937,38.88
1069671,2024-01-01,13/2/2026,400.0,0.0,1.0,21.5,AU,Arredo urbano,776.0,TP,Testapalo,,,,,,,41.946182945084814,12.566230639675188,781,43.37
991127,2023-07-01,13/2/2026,900.0,100.0,1.0,100.0,AS,Armatura stradale,189.0,SB,Sbraccio su palo,,,,,,,41.90097813341409,12.5110106991658,965,44.68
1040290,2024-03-01,13/2/2026,0.0,100.0,1.0,50.0,AU,Arredo urbano,189.0,SB,Sbraccio su palo,,,,,,,41.92100356118273,12.458081921049285,721,33.08
927469,2023-01-01,13/2/2026,800.0,0.0,1.0,100.0,AS,Armatura stradale,104.0,SB,Sbraccio su palo,,,,,,,41.9037130840544,12.65756268359723,1146,35.96
1212692,2016-01-01,13/2/2026,650.0,100.0,1.0,50.0,AS,Armatura stradale,613.0,SB,Sbraccio su palo,,,,,,,42.0225873355874,12.374110378673226,3703,38.83
1162285,2025-01-01,13/2/2026,0.0,0.0,1.0,41.5,AS,Armatura stradale,550.0,NN,Non noto,,,,,,,41.87233454690412,12.36167684245035,415,31.21
993210,2023-07-01,13/2/2026,1000.0,50.0,1.0,150.0,AS,Armatura stradale,189.0,SB,Sbraccio su palo,,,,,,,41.92123720378504,12.530747279903052,965,44.45
1154345,2025-07-01,13/2/2026,800.0,30.0,1.0,90.0,AS,Armatura stradale,2065.0,PI,Pipetta,,,,,,,41.7847669845782,12.517328695676884,234,43.48
1271227,2026-01-01,13/2/2026,450.0,20.0,1.0,13.0,PR,Proiettore,1344.0,PI,Pipetta,,,,,,,41.91800872291327,12.652515046947206,50,40.44
1133441,2024-01-01,13/2/2026,300.0,0.0,1.0,20.0,AU,Arredo urbano,2177.0,TP,Testapalo,,,,,,,41.87599477446477,12.47677776002592,781,42.07
739773,2022-05-01,13/2/2026,0.0,100.0,1.0,41.0,AS,Armatura stradale,1718.0,SB,Sbraccio su palo,,,,,,,41.91374616994253,12.573424547810731,1391,40.64
924467,2023-01-01,13/2/2026,1000.0,200.0,1.0,54.0,AS,Armatura stradale,2947.0,SB,Sbraccio su palo,,,,,,,41.9476547968612,12.518625803701442,1146,52.74
